"Weapon","Picks","Rounds","Percentage"
"Vandal",1431,4137,"34.59"
"Phantom",1049,4137,"25.36"
"Classic",531,4137,"12.84"
"Spectre",401,4137,"9.69"
"Sheriff",296,4137,"7.15"
"Frenzy",105,4137,"2.54"
"Ghost",100,4137,"2.42"
"Bulldog",91,4137,"2.20"
"Bucky",49,4137,"1.18"
"Operator",30,4137,"0.73"
"Stinger",20,4137,"0.48"
"Judge",15,4137,"0.36"
"Marshal",10,4137,"0.24"
"Guardian",6,4137,"0.15"
"Shorty",2,4137,"0.05"
