"Weapon","Picks","Rounds","Percentage"
"Vandal",2079,4681,"44.41"
"Phantom",911,4681,"19.46"
"Spectre",436,4681,"9.31"
"Classic",379,4681,"8.10"
"Sheriff",353,4681,"7.54"
"Ghost",231,4681,"4.93"
"Bulldog",86,4681,"1.84"
"Frenzy",68,4681,"1.45"
"Bucky",57,4681,"1.22"
"Operator",23,4681,"0.49"
"Judge",18,4681,"0.38"
"Stinger",18,4681,"0.38"
"Guardian",10,4681,"0.21"
"Shorty",5,4681,"0.11"
"Marshal",4,4681,"0.09"
"Ares",2,4681,"0.04"
"Odin",1,4681,"0.02"
