"Weapon","Picks","Rounds","Percentage"
"Vandal",2577,6841,"37.67"
"Phantom",1689,6841,"24.69"
"Spectre",667,6841,"9.75"
"Classic",517,6841,"7.56"
"Sheriff",486,6841,"7.10"
"Ghost",350,6841,"5.12"
"Frenzy",185,6841,"2.70"
"Bucky",105,6841,"1.53"
"Bulldog",92,6841,"1.34"
"Stinger",63,6841,"0.92"
"Judge",21,6841,"0.31"
"Guardian",20,6841,"0.29"
"Odin",20,6841,"0.29"
"Operator",16,6841,"0.23"
"Shorty",14,6841,"0.20"
"Ares",10,6841,"0.15"
"Marshal",5,6841,"0.07"
