"Weapon","Picks","Rounds","Percentage"
"Vandal",2042,8484,"24.07"
"Operator",1574,8484,"18.55"
"Phantom",1504,8484,"17.73"
"Classic",768,8484,"9.05"
"Spectre",562,8484,"6.62"
"Sheriff",474,8484,"5.59"
"Ghost",467,8484,"5.50"
"Frenzy",418,8484,"4.93"
"Bucky",220,8484,"2.59"
"Marshal",112,8484,"1.32"
"Judge",107,8484,"1.26"
"Stinger",81,8484,"0.95"
"Bulldog",70,8484,"0.83"
"Shorty",62,8484,"0.73"
"Guardian",13,8484,"0.15"
"Odin",3,8484,"0.04"
