"Agent","Picks","Matches","Percentage"
"Omen",80,43,"93.02"
"Raze",73,43,"84.88"
"Sage",59,43,"68.60"
"Breach",57,43,"66.28"
"Cypher",53,43,"61.63"
"Jett",52,43,"60.47"
"Killjoy",31,43,"36.05"
"Reyna",8,43,"9.30"
"Viper",6,43,"6.98"
"Skye",5,43,"5.81"
"Brimstone",4,43,"4.65"
"Sova",2,43,"2.33"
