"Weapon","Picks","Rounds","Percentage"
"Vandal",787,1732,"45.44"
"Phantom",338,1732,"19.52"
"Sheriff",168,1732,"9.70"
"Spectre",118,1732,"6.81"
"Ghost",92,1732,"5.31"
"Classic",68,1732,"3.93"
"Frenzy",48,1732,"2.77"
"Operator",44,1732,"2.54"
"Bucky",26,1732,"1.50"
"Bulldog",26,1732,"1.50"
"Stinger",9,1732,"0.52"
"Marshal",7,1732,"0.40"
"Guardian",1,1732,"0.06"
