"Weapon","Picks","Rounds","Percentage"
"Vandal",4100,10181,"40.27"
"Phantom",2073,10181,"20.36"
"Spectre",892,10181,"8.76"
"Sheriff",752,10181,"7.39"
"Classic",751,10181,"7.38"
"Ghost",628,10181,"6.17"
"Odin",223,10181,"2.19"
"Frenzy",191,10181,"1.88"
"Bulldog",173,10181,"1.70"
"Bucky",142,10181,"1.39"
"Operator",60,10181,"0.59"
"Ares",56,10181,"0.55"
"Stinger",49,10181,"0.48"
"Guardian",43,10181,"0.42"
"Judge",18,10181,"0.18"
"Marshal",18,10181,"0.18"
"Shorty",4,10181,"0.04"
