"Weapon","Picks","Rounds","Percentage"
"Vandal",3425,7430,"46.10"
"Phantom",1156,7430,"15.56"
"Spectre",679,7430,"9.14"
"Classic",620,7430,"8.34"
"Sheriff",511,7430,"6.88"
"Ghost",393,7430,"5.29"
"Operator",179,7430,"2.41"
"Frenzy",147,7430,"1.98"
"Bulldog",131,7430,"1.76"
"Bucky",87,7430,"1.17"
"Marshal",26,7430,"0.35"
"Guardian",22,7430,"0.30"
"Judge",19,7430,"0.26"
"Odin",16,7430,"0.22"
"Stinger",15,7430,"0.20"
"Ares",3,7430,"0.04"
"Shorty",1,7430,"0.01"
