"Agent","Picks","Matches","Percentage"
"Sova",79,46,"85.87"
"Sage",75,46,"81.52"
"Jett",71,46,"77.17"
"Omen",48,46,"52.17"
"Killjoy",47,46,"51.09"
"Viper",47,46,"51.09"
"Raze",33,46,"35.87"
"Reyna",19,46,"20.65"
"Skye",16,46,"17.39"
"Breach",9,46,"9.78"
"Cypher",9,46,"9.78"
"Phoenix",4,46,"4.35"
"Brimstone",2,46,"2.17"
"Yoru",1,46,"1.09"
