Weapon,Picks,Rounds,Percentage
"Vandal",3880,10546,"36.79"
"Phantom",2695,10546,"25.55"
"Classic",1171,10546,"11.10"
"Spectre",1003,10546,"9.51"
"Sheriff",698,10546,"6.62"
"Ghost",278,10546,"2.64"
"Frenzy",182,10546,"1.73"
"Bucky",168,10546,"1.59"
"Bulldog",150,10546,"1.42"
"Operator",113,10546,"1.07"
"Stinger",80,10546,"0.76"
"Judge",41,10546,"0.39"
"Shorty",29,10546,"0.27"
"Guardian",28,10546,"0.27"
"Marshal",21,10546,"0.20"
"Odin",7,10546,"0.07"
