"Weapon","Picks","Rounds","Percentage"
"Classic",2938,6060,"48.48"
"Ghost",2188,6060,"36.11"
"Frenzy",846,6060,"13.96"
"Sheriff",69,6060,"1.14"
"Shorty",6,6060,"0.10"
