"Weapon","Picks","Rounds","Percentage"
"Vandal",2412,7646,"31.55"
"Phantom",2236,7646,"29.24"
"Spectre",740,7646,"9.68"
"Classic",493,7646,"6.45"
"Sheriff",474,7646,"6.20"
"Ghost",360,7646,"4.71"
"Frenzy",275,7646,"3.60"
"Operator",164,7646,"2.14"
"Judge",160,7646,"2.09"
"Bucky",148,7646,"1.94"
"Stinger",69,7646,"0.90"
"Bulldog",62,7646,"0.81"
"Shorty",20,7646,"0.26"
"Guardian",13,7646,"0.17"
"Marshal",8,7646,"0.10"
"Odin",4,7646,"0.05"
