"Weapon","Picks","Rounds","Percentage"
"Phantom",600,1673,"35.86"
"Vandal",491,1673,"29.35"
"Spectre",146,1673,"8.73"
"Sheriff",124,1673,"7.41"
"Classic",104,1673,"6.22"
"Frenzy",74,1673,"4.42"
"Ghost",74,1673,"4.42"
"Stinger",17,1673,"1.02"
"Bulldog",14,1673,"0.84"
"Bucky",10,1673,"0.60"
"Judge",5,1673,"0.30"
"Marshal",5,1673,"0.30"
"Shorty",3,1673,"0.18"
"Guardian",2,1673,"0.12"
