"Agent","Picks","Matches","Percentage"
"Sova",157,79,"99.37"
"Omen",148,79,"93.67"
"Jett",107,79,"67.72"
"Killjoy",92,79,"58.23"
"Raze",65,79,"41.14"
"Sage",59,79,"37.34"
"Cypher",57,79,"36.08"
"Breach",39,79,"24.68"
"Reyna",31,79,"19.62"
"Phoenix",16,79,"10.13"
"Brimstone",10,79,"6.33"
"Skye",9,79,"5.70"
