"Weapon","Picks","Rounds","Percentage"
"Vandal",13,26,"50.00"
"Sheriff",6,26,"23.08"
"Spectre",3,26,"11.54"
"Operator",2,26,"7.69"
"Phantom",2,26,"7.69"
