"Weapon","Picks","Rounds","Percentage"
"Classic",2793,6314,"44.24"
"Ghost",2658,6314,"42.10"
"Frenzy",796,6314,"12.61"
"Sheriff",25,6314,"0.40"
"Shorty",10,6314,"0.16"
