"Weapon","Picks","Rounds","Percentage"
"Vandal",597,1424,"41.92"
"Phantom",316,1424,"22.19"
"Spectre",147,1424,"10.32"
"Classic",132,1424,"9.27"
"Sheriff",77,1424,"5.41"
"Ghost",69,1424,"4.85"
"Bucky",23,1424,"1.62"
"Bulldog",23,1424,"1.62"
"Judge",14,1424,"0.98"
"Frenzy",10,1424,"0.70"
"Marshal",6,1424,"0.42"
"Stinger",4,1424,"0.28"
"Guardian",3,1424,"0.21"
"Odin",2,1424,"0.14"
"Operator",1,1424,"0.07"
