"Agent","Picks","Matches","Percentage"
"Omen",125,64,"97.66"
"Sova",118,64,"92.19"
"Cypher",96,64,"75.00"
"Jett",93,64,"72.66"
"Raze",66,64,"51.56"
"Breach",45,64,"35.16"
"Phoenix",35,64,"27.34"
"Killjoy",20,64,"15.63"
"Sage",14,64,"10.94"
"Reyna",14,64,"10.94"
"Skye",10,64,"7.81"
"Brimstone",4,64,"3.13"
