"Weapon","Picks","Rounds","Percentage"
"Vandal",1742,4190,"41.58"
"Phantom",863,4190,"20.60"
"Spectre",371,4190,"8.85"
"Classic",365,4190,"8.71"
"Sheriff",332,4190,"7.92"
"Ghost",202,4190,"4.82"
"Frenzy",92,4190,"2.20"
"Bucky",61,4190,"1.46"
"Bulldog",47,4190,"1.12"
"Operator",35,4190,"0.84"
"Stinger",25,4190,"0.60"
"Guardian",17,4190,"0.41"
"Marshal",12,4190,"0.29"
"Judge",8,4190,"0.19"
"Odin",8,4190,"0.19"
"Shorty",7,4190,"0.17"
"Ares",3,4190,"0.07"
