"Weapon","Picks","Rounds","Percentage"
"Phantom",512,1379,"37.13"
"Vandal",373,1379,"27.05"
"Classic",140,1379,"10.15"
"Spectre",133,1379,"9.64"
"Sheriff",76,1379,"5.51"
"Ghost",39,1379,"2.83"
"Bulldog",29,1379,"2.10"
"Bucky",26,1379,"1.89"
"Frenzy",17,1379,"1.23"
"Stinger",9,1379,"0.65"
"Judge",6,1379,"0.44"
"Operator",6,1379,"0.44"
"Marshal",3,1379,"0.22"
"Shorty",1,1379,"0.07"
